bound,length,time(ms),swaps,jumps,partsSorted?
10.0, 30246.0, 3.982401, 0.0, 1148147.0, sorted
10.0, 50410.0, 6.987001, 0.0, 2014324.0, sorted
10.0, 70574.0, 10.266299, 0.0, 2890609.0, sorted
10.0, 90738.0, 13.402199, 0.0, 3807205.0, sorted
10.0, 110902.0, 17.225999, 0.0, 4764109.0, sorted
10.0, 332706.0, 59.3594, 0.0, 1.5955665E7, sorted
10.0, 554510.0, 108.5086, 0.0, 2.825621E7, sorted
10.0, 776314.0, 149.6863, 0.0, 4.0334959E7, sorted
10.0, 998118.0, 200.570601, 0.0, 5.2857318E7, sorted
100.0, 10.0, 4.99E-4, 0.0, 36.0, sorted
100.0, 30.0, 0.001, 0.0, 229.0, sorted
100.0, 50.0, 0.001999, 0.0, 474.0, sorted
100.0, 70.0, 0.002701, 0.0, 731.0, sorted
100.0, 90.0, 0.0046, 0.0, 1026.0, sorted
100.0, 110.0, 0.0049, 0.0, 1353.0, sorted
100.0, 330.0, 0.019701, 0.0, 5651.0, sorted
100.0, 550.0, 0.0363, 0.0, 10489.0, sorted
100.0, 770.0, 0.055999, 0.0, 16199.0, sorted
100.0, 990.0, 0.075301, 0.0, 21796.0, sorted
100.0, 1210.0, 0.0964, 0.0, 27851.0, sorted
100.0, 3630.0, 0.355701, 0.0, 101565.0, sorted
100.0, 6050.0, 0.6315, 0.0, 181326.0, sorted
100.0, 8066.0, 0.895, 0.0, 257844.0, sorted
100.0, 10082.0, 1.1526, 0.0, 332348.0, sorted
100.0, 30246.0, 4.079, 0.0, 1148147.0, sorted
100.0, 50410.0, 6.9962, 0.0, 2014324.0, sorted
100.0, 70574.0, 10.174701, 0.0, 2890609.0, sorted
100.0, 90738.0, 13.067599, 0.0, 3807205.0, sorted
100.0, 110902.0, 16.967701, 0.0, 4764109.0, sorted
100.0, 332706.0, 59.1844, 0.0, 1.5955665E7, sorted
100.0, 554510.0, 109.1351, 0.0, 2.825621E7, sorted
100.0, 776314.0, 155.8193, 0.0, 4.0334959E7, sorted
100.0, 998118.0, 203.171199, 0.0, 5.2857318E7, sorted
1000.0, 10.0, 4.0E-4, 0.0, 36.0, sorted
1000.0, 30.0, 0.001001, 0.0, 229.0, sorted
1000.0, 50.0, 0.002, 0.0, 474.0, sorted
1000.0, 70.0, 0.0029, 0.0, 731.0, sorted
1000.0, 90.0, 0.0037, 0.0, 1026.0, sorted
1000.0, 110.0, 0.0059, 0.0, 1353.0, sorted
1000.0, 330.0, 0.019701, 0.0, 5651.0, sorted
1000.0, 550.0, 0.0365, 0.0, 10489.0, sorted
1000.0, 770.0, 0.056501, 0.0, 16199.0, sorted
1000.0, 990.0, 0.0755, 0.0, 21796.0, sorted
1000.0, 1210.0, 0.096199, 0.0, 27851.0, sorted
1000.0, 3630.0, 0.355001, 0.0, 101565.0, sorted
1000.0, 6050.0, 0.633, 0.0, 181326.0, sorted
1000.0, 8066.0, 0.8934, 0.0, 257844.0, sorted
